School,Phase 1,2A,2B,2C,2C(S),3
↳ Vacancy (240),180,72,20,55,0,-
↳ Applied,108,85,6,108,-,-
↳ Taken,108,72,6,55,-,-
,,,,,,
,,SC1-2,,SC<1,,
West Grove,,,,,,
↳ Vacancy (210),150,73,42,126,81,35
↳ Applied,77,7,1,45,46,-
↳ Taken,77,7,1,45,46,-
West Spring,,,,,,
↳ Vacancy (240),180,87,26,79,0,-
↳ Applied,94,69,2,85,-,-
↳ Taken,94,69,2,79,-,-
,,,,,,
,,,,SC1-2,,
West View,,,,,,
↳ Vacancy (150),90,45,27,82,41,16
↳ Applied,45,23,1,41,25,-
↳ Taken,45,23,1,41,25,-
Westwood,,,,,,
↳ Vacancy (240),180,90,23,59,0,-
↳ Applied,90,82,10,82,-,-
↳ Taken,90,82,10,59,-,-
,,,,,,
,,,,SC<1,,
White Sands,,,,,,
↳ Vacancy (180),120,42,26,78,0,-
↳ Applied,78,23,3,86,-,-
↳ Taken,78,23,3,78,-,-
,,,,,,
,,,,SC>2,,
Woodgrove,,,,,,
↳ Vacancy (180),120,61,37,103,4,0
↳ Applied,59,10,8,99,8,-
↳ Taken,59,10,8,99,4,-
,,,,,,
,,,,,SC<1#,
Woodlands,,,,,,
↳ Vacancy (210),150,81,36,102,16,6
↳ Applied,69,33,8,87,10,-
↳ Taken,69,33,8,87,10,-
Woodlands Ring,,,,,,
↳ Vacancy (210),150,65,35,105,53,47
↳ Applied,85,20,0,53,6,-
↳ Taken,85,20,0,53,6,-
Xinghua,,,,,,
↳ Vacancy (240),180,152,67,203,169,127
↳ Applied,28,10,0,34,42,-
↳ Taken,28,10,0,34,42,-
Xingnan,,,,,,
↳ Vacancy (210),150,101,48,143,100,89
↳ Applied,49,18,0,43,11,-
↳ Taken,49,18,0,43,11,-
Xinmin,,,,,,
↳ Vacancy (210),150,81,29,62,0,-
↳ Applied,69,54,26,100,-,-
↳ Taken,69,54,26,62,-,-
,,,,,,
,,,,SC<1,,
Xishan,,,,,,
↳ Vacancy (220),160,87,39,116,73,0
↳ Applied,73,29,2,43,79,-
↳ Taken,73,29,2,43,73,-
,,,,,,
,,,,,PR<1,
Yangzheng,,,,,,
↳ Vacancy (160),100,34,20,48,0,-
↳ Applied,66,38,14,77,-,-
↳ Taken,66,34,14,48,-,-
,,,,,,
,,SC>2,,SC<1,,
Yew Tee,,,,,,
↳ Vacancy (180),120,67,40,118,74,63
↳ Applied,53,6,3,45,11,-
↳ Taken,53,6,3,45,11,-
Yio Chu Kang,,,,,,
↳ Vacancy (180),120,74,41,123,99,32
↳ Applied,46,11,0,24,67,-
↳ Taken,46,11,0,24,67,-
Yishun,,,,,,
↳ Vacancy (220),160,106,47,141,87,40
↳ Applied,54,24,1,54,47,-
↳ Taken,54,24,1,54,47,-
Yu Neng,,,,,,
↳ Vacancy (180),120,51,22,56,0,-
↳ Applied,69,44,12,82,-,-
↳ Taken,69,44,12,56,-,-
,,,,,,
,,,,SC<1,,
Yuhua,,,,,,
↳ Vacancy (240),180,123,53,160,137,106
↳ Applied,57,23,1,23,31,-
↳ Taken,57,23,1,23,31,-
Yumin,,,,,,
↳ Vacancy (220),160,113,54,161,148,107
↳ Applied,47,12,0,14,41,-
↳ Taken,47,12,0,14,41,-
Zhangde,,,,,,
↳ Vacancy (180),120,57,32,95,8,0
↳ Applied,63,22,0,88,19,-
↳ Taken,63,22,0,88,8,-
,,,,,,
,,,,,SC<1,
Zhenghua,,,,,,
↳ Vacancy (210),150,72,26,76,32,0
↳ Applied,78,55,2,44,44,-
↳ Taken,78,55,2,44,32,-
,,,,,,
,,,,,SC1-2,
Zhonghua,,,,,,
↳ Vacancy (120),60,39,32,95,84,64
↳ Applied,21,4,0,11,20,-
↳ Taken,21,4,0,11,20,-
,,,,,,
