School,Phase 1,2A,2B,2C,2C(S),3
↳ Vacancy (240),180,73,40,101,0,-
↳ Applied,107,14,18,133,-,-
↳ Taken,107,14,18,101,-,-
,,,,,,
,,,,SC<1,,
Concord,,,,,,
↳ Vacancy (240),180,81,36,108,32,0
↳ Applied,99,32,1,76,54,-
↳ Taken,99,32,1,76,32,-
,,,,,,
,,,,,SC<1,
Corporation,,,,,,
↳ Vacancy (180),120,75,39,118,88,70
↳ Applied,45,17,2,31,18,-
↳ Taken,45,17,2,31,18,-
Damai,,,,,,
↳ Vacancy (150),90,41,29,87,65,47
↳ Applied,49,13,1,22,18,-
↳ Taken,49,13,1,22,18,-
Dazhong,,,,,,
↳ Vacancy (200),140,84,28,85,2,0
↳ Applied,56,61,0,83,41,-
↳ Taken,56,61,0,83,2,-
,,,,,,
,,,,,SC<1,
De La Salle,,,,,,
↳ Vacancy (240),180,89,44,128,32,0
↳ Applied,91,16,5,96,33,-
↳ Taken,91,16,5,96,32,-
,,,,,,
,,,,,SC#,
East Spring,,,,,,
↳ Vacancy (190),130,81,43,130,66,28
↳ Applied,49,11,0,64,38,-
↳ Taken,49,11,0,64,38,-
Edgefield,,,,,,
↳ Vacancy (240),180,109,54,162,116,92
↳ Applied,71,7,0,46,24,-
↳ Taken,71,7,0,46,24,-
Elias Park,,,,,,
↳ Vacancy (160),100,23,20,61,0,-
↳ Applied,77,22,0,101,-,-
↳ Taken,77,22,0,61,-,-
,,,,,,
,,,,SC<1,,
Endeavour,,,,,,
↳ Vacancy (240),180,122,59,175,122,97
↳ Applied,58,6,1,53,25,-
↳ Taken,58,6,1,53,25,-
Evergreen,,,,,,
↳ Vacancy (180),120,52,31,94,28,6
↳ Applied,68,18,0,66,22,-
↳ Taken,68,18,0,66,22,-
Fairfield Methodist,,,,,,
↳ Vacancy (270),210,94,20,40,0,-
↳ Applied,116,103,52,66,-,-
↳ Taken,116,94,20,40,-,-
,,,,,,
,,SC>2,SC<1,SC<1,,
Farrer Park,,,,,,
↳ Vacancy (220),160,125,55,164,127,98
↳ Applied,35,20,1,37,29,-
↳ Taken,35,20,1,37,29,-
Fengshan,,,,,,
↳ Vacancy (180),120,67,31,96,21,0
↳ Applied,53,33,2,75,39,-
↳ Taken,53,33,2,75,21,-
,,,,,,
,,,,,SC<1,
Fern Green,,,,,,
↳ Vacancy (240),180,50,20,61,0,-
↳ Applied,130,50,1,73,-,-
↳ Taken,130,50,1,61,-,-
,,,,,,
,,,,SC<1,,
Fernvale,,,,,,
↳ Vacancy (240),180,103,43,129,49,0
↳ Applied,77,35,0,80,56,-
↳ Taken,77,35,0,80,49,-
,,,,,,
,,,,,SC<1,
First Toa Payoh,,,,,,
↳ Vacancy (150),90,71,39,119,110,96
↳ Applied,19,13,0,9,14,-
↳ Taken,19,13,0,9,14,-
Frontier,,,,,,
↳ Vacancy (210),150,81,20,48,0,-
↳ Applied,69,88,13,63,-,-
↳ Taken,69,81,13,48,-,-
,,,,,,
,,PR<1,,SC1-2,,
Fuchun,,,,,,
↳ Vacancy (180),120,62,32,95,50,46
↳ Applied,58,27,1,45,4,-
↳ Taken,58,27,1,45,4,-
Fuhua,,,,,,
↳ Vacancy (220),160,99,43,128,74,43
↳ Applied,61,30,2,54,31,-
↳ Taken,61,30,2,54,31,-
Gan Eng Seng,,,,,,
↳ Vacancy (150),90,59,38,115,88,67
↳ Applied,31,4,0,27,21,-
↳ Taken,31,4,0,27,21,-
Geylang Methodist,,,,,,
↳ Vacancy (270),210,108,45,132,0,-
↳ Applied,102,32,4,134,-,-
↳ Taken,102,32,4,132,-,-
,,,,,,
,,,,PR>2,,
Gongshang,,,,,,
↳ Vacancy (220),160,46,20,44,0,-
↳ Applied,114,163,16,107,-,-
↳ Taken,114,46,16,44,-,-
,,,,,,
,,SC<1,,SC<1,,
Greendale,,,,,,
↳ Vacancy (280),220,152,63,190,167,150
↳ Applied,68,22,0,23,17,-
↳ Taken,68,22,0,23,17,-
Greenridge,,,,,,
↳ Vacancy (180),120,53,35,103,84,77
↳ Applied,67,9,1,19,7,-
↳ Taken,67,9,1,19,7,-
Greenwood,,,,,,
↳ Vacancy (240),180,82,42,123,34,1
↳ Applied,99,16,3,89,33,-
