School,Phase 1,2A,2B,2C
Princess Elizabeth,0.6214285714285714,1.679245283018868,0.6,5.895833333333333
Punggol Cove,0.4636363636363636,0.5508474576271186,0.02631578947368421,0.7256637168141593
Punggol Green,0.5944444444444444,1.3424657534246576,0.19047619047619047,1.896551724137931
Punggol,0.6846153846153846,0.4146341463414634,0.0,1.2325581395348837
Punggol View,0.5444444444444444,0.6219512195121951,0.03333333333333333,0.5543478260869565
Qifa,0.4318181818181818,0.384,0.3695652173913043,1.0483870967741935
Qihua,0.5,0.4166666666666667,0.0,0.4421052631578947
Queenstown,0.5066666666666667,0.37333333333333335,0.027777777777777776,1.1603773584905661
Radin Mas,0.5,0.7887323943661971,0.88,1.5
Raffles Girls,0.2904761904761905,0.4370860927152318,0.6875,1.1504424778761062
Red Swastika,0.5222222222222223,1.302325581395349,1.1,2.119047619047619
River Valley,0.56,0.7761194029850746,0.64,1.2166666666666666
Riverside,0.58,1.1111111111111112,0.05,1.5254237288135593
Rivervale,0.6857142857142857,0.45454545454545453,0.5,1.9
Rosyth,0.6428571428571429,1.6,1.15,3.4634146341463414
Rulang,0.580952380952381,1.1590909090909092,1.3,2.731707317073171
Sembawang,0.5857142857142857,0.7586206896551724,0.04,0.8933333333333333
Seng Kang,0.26,0.08108108108108109,0.0,0.13496932515337423
Sengkang Green,0.5818181818181818,1.315217391304348,0.75,1.9333333333333333
Shuqun,0.5571428571428572,0.7903225806451613,0.6,1.6166666666666667
Si Ling,0.4444444444444444,0.2,0.0,0.22
Singapore Chinese Girls,0.4090909090909091,0.9615384615384616,0.9523809523809523,1.3488372093023255
South View,0.5761904761904761,1.1797752808988764,1.7,3.2
Springdale,0.4636363636363636,0.4830508474576271,0.0,0.5619834710743802
St. Andrews Junior,0.3055555555555556,0.392,0.8,1.0970873786407767
St. Anthonys Canossian,0.17333333333333334,0.08870967741935484,0.13793103448275862,0.21818181818181817
St. Anthonys,0.3888888888888889,0.4,0.5714285714285714,1.1176470588235294
St. Gabriels,0.28888888888888886,0.203125,0.918918918918919,0.6753246753246753
St. Hildas,0.5095238095238095,1.0970873786407767,1.8,3.4
St. Josephs Institution Junior,0.29444444444444445,0.4409448818897638,1.9318181818181819,1.1136363636363635
St. Margarets,0.19696969696969696,0.2641509433962264,0.3695652173913043,0.639344262295082
St. Stephens,0.16666666666666666,0.15333333333333332,0.45161290322580644,0.3625
Tampines North,0.4666666666666667,0.1875,0.0,0.34057971014492755
Tampines,0.42777777777777776,0.6019417475728155,0.0,0.9019607843137255
Tanjong Katong,0.5071428571428571,0.4782608695652174,0.40625,1.2413793103448276
